Node Number =   5620
  289.27625254   42.18128206   42.18128200
  289.27494802   42.18096539   42.18096500
  289.27359771   42.18078234   42.18078200
  289.27278242   42.17998184   42.17998200
  289.27159847   42.17895508   42.17895500
  289.26986676   42.17810825   42.17810800
  289.26798247   42.17732619   42.17732600
  289.29380725   42.19072243   42.19072200
  289.29593856   42.19194064   42.19194100
  289.29618106   42.19347049   42.19347000
  289.29323607   42.20093156   42.20093200
  289.29396090   42.19961546   42.19961500
  289.29415874   42.19824217   42.19824200
  289.29429612   42.19703676   42.19703700
  289.29417342   42.19578475   42.19578500
  289.29401515   42.19460641   42.19460600
  289.29279291   42.20213700   42.20213700
  289.29190827   42.20408247   42.20408200
  289.29219821   42.20309829   42.20309800
  289.29123720   42.20520784   42.20520800
  289.28843703   42.20995329   42.20995300
  289.28911622   42.20868681   42.20868700
  289.28980270   42.20753860   42.20753900
  289.29034417   42.20626449   42.20626400
  289.28669929   42.21266602   42.21266600
  289.28756742   42.21126556   42.21126600
  289.28363388   42.21408645   42.21408600
  289.28470584   42.21289826   42.21289800
  289.27829716   42.21452335   42.21452300
  289.28014196   42.21481871   42.21481900
  289.28144692   42.21377615   42.21377600
  289.27507071   42.21485896   42.21485900
  289.27625948   42.21409319   42.21409300
  289.27285885   42.21462760   42.21462800
  289.26626142   42.21563772   42.21563800
  289.26746985   42.21526016   42.21526000
  289.26903946   42.21539574   42.21539600
  289.27130381   42.21517188   42.21517200
  289.26361883   42.21724517   42.21724500
  289.26438640   42.21646932   42.21646900
  289.26490508   42.21575885   42.21575900
  289.26087978   42.21781921   42.21781900
  289.26159667   42.21785736   42.21785700
  289.26198959   42.21743203   42.21743200
  289.26271235   42.21743963   42.21744000
  289.25832302   42.21853658   42.21853700
  289.25926921   42.21808072   42.21808100
  289.25983979   42.21779999   42.21780000
  289.26038128   42.21758842   42.21758800
  289.25657101   42.21832451   42.21832500
  289.25740856   42.21812165   42.21812200
  289.25301736   42.21753864   42.21753900
  289.25393314   42.21805283   42.21805300
  289.25484059   42.21815375   42.21815400
  289.25572041   42.21796461   42.21796500
  289.25237799   42.21514691   42.21514700
  289.25289881   42.21620019   42.21620000
  289.25110592   42.21375659   42.21375700
  289.25309322   42.21692502   42.21692500
  289.26658473   42.17661846   42.17661800
  289.26739374   42.17547907   42.17547900
  289.29180845   42.19086606   42.19086600
  289.28980356   42.19030740   42.19030700
  289.28842012   42.18928349   42.18928300
  289.28749503   42.18845982   42.18846000
  289.28615803   42.18823738   42.18823700
  289.28544619   42.18767669   42.18767700
  289.28484229   42.18709581   42.18709600
  289.28409973   42.18659079   42.18659100
  289.28340213   42.18620842   42.18620800
  289.28275164   42.18583798   42.18583800
  289.28197437   42.18543091   42.18543100
  289.28113578   42.18539431   42.18539400
  289.28065515   42.18507007   42.18507000
  289.28089144   42.18469617   42.18469600
  289.28038764   42.18442534   42.18442500
  289.28011103   42.18416455   42.18416500
  289.27977482   42.18390421   42.18390400
  289.27966018   42.18344630   42.18344600
  289.27909630   42.18314467   42.18314500
  289.27866395   42.18280414   42.18280400
  289.27862575   42.18232729   42.18232700
  289.27794664   42.18229678   42.18229700
  289.27745799   42.18254474   42.18254500
  289.27684793   42.18240357   42.18240400
  289.27619204   42.18214036   42.18214000
  289.27524472   42.18201683   42.18201700
  289.27406451   42.18187874   42.18187900
  289.27293378   42.18189483   42.18189500
  289.27199212   42.18133653   42.18133700
  289.27084340   42.18050004   42.18050000
  289.26930998   42.17972564   42.17972600
  289.26749399   42.17874528   42.17874500
  289.26605990   42.17803955   42.17804000
  289.29360637   42.19213496   42.19213500
  289.29377972   42.19338990   42.19339000
  289.29195378   42.20105746   42.20105700
  289.29183162   42.20020673   42.20020700
  289.29272438   42.19979097   42.19979100
  289.29272484   42.19884875   42.19884900
  289.29270143   42.19768908   42.19768900
  289.29249554   42.19645308   42.19645300
  289.29222993   42.19538847   42.19538800
  289.29199311   42.19433850   42.19433900
  289.29141220   42.20252992   42.20253000
  289.29159577   42.20177081   42.20177100
  289.29052717   42.20433808   42.20433800
  289.29093154   42.20342633   42.20342600
  289.28994026   42.20517730   42.20517700
  289.28635408   42.21030427   42.21030400
  289.28697412   42.20930291   42.20930300
  289.28803328   42.20808985   42.20809000
  289.28863558   42.20701602   42.20701600
  289.28914644   42.20578384   42.20578400
  289.28553781   42.21157071   42.21157100
  289.28260969   42.21264646   42.21264600
  289.28356767   42.21166613   42.21166600
  289.27789314   42.21294784   42.21294800
  289.27972381   42.21341704   42.21341700
  289.28100565   42.21224593   42.21224600
  289.27447516   42.21360400   42.21360400
  289.27588683   42.21257018   42.21257000
  289.27121747   42.21393202   42.21393200
  289.27244966   42.21337689   42.21337700
  289.26540586   42.21515363   42.21515400
  289.26626871   42.21482209   42.21482200
  289.26728465   42.21429953   42.21430000
  289.26870328   42.21438665   42.21438700
  289.27023105   42.21445808   42.21445800
  289.26302424   42.21696672   42.21696700
  289.26350177   42.21652525   42.21652500
  289.26385644   42.21600753   42.21600800
  289.26414907   42.21552013   42.21552000
  289.26458405   42.21509374   42.21509400
  289.26096872   42.21716498   42.21716500
  289.26146723   42.21739577   42.21739600
  289.26186758   42.21690179   42.21690200
  289.26238994   42.21693805   42.21693800
  289.25824611   42.21791879   42.21791900
  289.25881669   42.21763805   42.21763800
  289.25938726   42.21735731   42.21735700
  289.25992875   42.21714575   42.21714600
  289.26047023   42.21693419   42.21693400
  289.25654605   42.21780627   42.21780600
  289.25738360   42.21760341   42.21760300
  289.25393988   42.21731552   42.21731600
  289.25488213   42.21758317   42.21758300
  289.25569546   42.21744637   42.21744600
  289.25384107   42.21368322   42.21368300
  289.25414539   42.21510363   42.21510400
  289.25438358   42.21607625   42.21607600
  289.25385119   42.21668307   42.21668300
  289.25218224   42.21235660   42.21235700
  289.29155116   42.19221620   42.19221600
  289.29034917   42.19120128   42.19120100
  289.28889546   42.19102693   42.19102700
  289.28793249   42.19010045   42.19010000
  289.28702436   42.18941460   42.18941500
  289.28660023   42.18876076   42.18876100
  289.28556450   42.18869640   42.18869600
  289.28505288   42.18822220   42.18822200
  289.28455772   42.18780479   42.18780500
  289.28397356   42.18732123   42.18732100
  289.28330054   42.18689577   42.18689600
  289.28261857   42.18652517   42.18652500
  289.28195204   42.18618976   42.18619000
  289.28139699   42.18584317   42.18584300
  289.28088453   42.18574977   42.18575000
  289.28053304   42.18545147   42.18545100
  289.28015041   42.18525377   42.18525400
  289.28020446   42.18488671   42.18488700
  289.27994554   42.18462754   42.18462800
  289.27966393   42.18440424   42.18440400
  289.27933577   42.18413887   42.18413900
  289.27933876   42.18379677   42.18379700
  289.27902096   42.18359266   42.18359300
  289.27875456   42.18332668   42.18332700
  289.27854158   42.18312836   42.18312800
  289.27827473   42.18292999   42.18293000
  289.27830537   42.18262861   42.18262900
  289.27796943   42.18280409   42.18280400
  289.27750397   42.18291092   42.18291100
  289.27687841   42.18298343   42.18298300
  289.27622250   42.18297962   42.18298000
  289.27508951   42.18287226   42.18287200
  289.27405599   42.18284472   42.18284500
  289.27299322   42.18283953   42.18284000
  289.27164106   42.18284373   42.18284400
  289.27037532   42.18183908   42.18183900
  289.26875276   42.18113328   42.18113300
  289.26703665   42.18040085   42.18040100
  289.26548014   42.17959216   42.17959200
  289.29175751   42.19328854   42.19328900
  289.29106906   42.20106123   42.20106100
  289.29106169   42.20050814   42.20050800
  289.29084043   42.19983293   42.19983300
  289.29142000   42.19922635   42.19922600
  289.29161075   42.19815828   42.19815800
  289.29129010   42.19707106   42.19707100
  289.29106162   42.19609069   42.19609100
  289.29074116   42.19507218   42.19507200
  289.29041281   42.19400405   42.19400400
  289.29042077   42.20253374   42.20253400
  289.29071031   42.20186235   42.20186200
  289.28939814   42.20449831   42.20449800
  289.28979487   42.20386125   42.20386100
  289.29011539   42.20319746   42.20319700
  289.28887171   42.20507812   42.20507800
  289.28419587   42.21044653   42.21044700
  289.28474365   42.20956056   42.20956100
  289.28553877   42.20863885   42.20863900
  289.28678475   42.20823155   42.20823200
  289.28718703   42.20750153   42.20750200
  289.28752130   42.20677566   42.20677600
  289.28804766   42.20611954   42.20612000
  289.28813155   42.20551681   42.20551700
  289.28199742   42.21143720   42.21143700
  289.28249589   42.21041227   42.21041200
  289.27747201   42.21171868   42.21171900
  289.27922422   42.21187751   42.21187800
  289.28049454   42.21119131   42.21119100
  289.27392815   42.21258014   42.21258000
  289.27517703   42.21186149   42.21186100
  289.27603068   42.21132636   42.21132600
  289.26981372   42.21355060   42.21355100
  289.27121438   42.21282886   42.21282900
  289.27229328   42.21236803   42.21236800
  289.26499896   42.21474378   42.21474400
  289.26549786   42.21448246   42.21448200
  289.26603900   42.21410161   42.21410200
  289.26666697   42.21362486   42.21362500
  289.26785920   42.21356592   42.21356600
  289.26867692   42.21326745   42.21326700
  289.26275251   42.21652033   42.21652000
  289.26308829   42.21609116   42.21609100
  289.26340486   42.21569442   42.21569400
  289.26371016   42.21533012   42.21533000
  289.26398465   42.21498107   42.21498100
  289.26442308   42.21471024   42.21471000
  289.26089053   42.21659552   42.21659600
  289.26138902   42.21682631   42.21682600
  289.26178937   42.21633233   42.21633200
  289.26226793   42.21640781   42.21640800
  289.25824255   42.21731017   42.21731000
  289.25881312   42.21702943   42.21702900
  289.25946540   42.21688730   42.21688700
  289.26000688   42.21667574   42.21667600
  289.25652109   42.21728802   42.21728800
  289.25738004   42.21699479   42.21699500
  289.25470672   42.21689715   42.21689700
  289.25554457   42.21666010   42.21666000
  289.25473881   42.21205461   42.21205500
  289.25616236   42.21345635   42.21345600
  289.25550437   42.21495833   42.21495800
  289.25576175   42.21602018   42.21602000
  289.25314350   42.21095278   42.21095300
  289.29013782   42.19312153   42.19312200
  289.29003018   42.19211808   42.19211800
  289.28909094   42.19194887   42.19194900
  289.28793913   42.19172103   42.19172100
  289.28746659   42.19092111   42.19092100
  289.28666712   42.19023517   42.19023500
  289.28595286   42.18984794   42.18984800
  289.28608569   42.18918505   42.18918500
  289.28495442   42.18910853   42.18910900
  289.28459308   42.18875568   42.18875600
  289.28419914   42.18839277   42.18839300
  289.28379255   42.18795418   42.18795400
  289.28310352   42.18755834   42.18755800
  289.28248429   42.18721146   42.18721100
  289.28183442   42.18676989   42.18677000
  289.28127929   42.18643140   42.18643100
  289.28085360   42.18610344   42.18610300
  289.28047170   42.18606571   42.18606600
  289.28050256   42.18573760   42.18573800
  289.28000851   42.18570144   42.18570100
  289.27984975   42.18544409   42.18544400
  289.27987543   42.18513721   42.18513700
  289.27969928   42.18493109   42.18493100
  289.27951946   42.18472855   42.18472900
  289.27925024   42.18450758   42.18450800
  289.27893842   42.18420790   42.18420800
  289.27893793   42.18391797   42.18391800
  289.27857233   42.18376540   42.18376500
  289.27857955   42.18354416   42.18354400
  289.27836599   42.18339535   42.18339500
  289.27817552   42.18320087   42.18320100
  289.27806061   42.18301772   42.18301800
