Node Number =   5620
  289.29595169   42.19039038   12.74300000
  289.29826778   42.19166613   14.40700000
  289.29828744   42.19349834   16.62600000
  289.29559326   42.20023730   11.72700000
  289.29598990   42.19870759   10.41700000
  289.29618184   42.19738140   13.28200000
  289.29620202   42.19614268   12.55400000
  289.29616265   42.19492889   15.23700000
  289.29493718   42.20201492    8.77600000
  289.29409769   42.20346454    7.97200000
  289.29327430   42.20506285    8.05100000
  289.29071799   42.20963289   10.62800000
  289.29152674   42.20816803   10.36500000
  289.29238134   42.20647050    9.10400000
  289.28801204   42.21421988   12.21700000
  289.28896349   42.21245953   10.89100000
  289.28984044   42.21099473   10.39300000
  289.28481047   42.21611325   12.69600000
  289.28589022   42.21449787   12.66600000
  289.27920531   42.21610263    8.48900000
  289.28205884   42.21603774    9.59900000
  289.27656549   42.21596528   12.54500000
  289.27429778   42.21612192    7.52000000
  289.26760932   42.21646005    8.83000000
  289.27000131   42.21646102    8.74000000
  289.27213352   42.21625540    8.90600000
  289.26466477   42.21757086    6.14500000
  289.26558667   42.21646626    6.95200000
  289.26100922   42.21828080    0.05200000
  289.26171568   42.21836737    1.43900000
  289.26225513   42.21791091    1.10900000
  289.26318015   42.21794612    2.99500000
  289.25839992   42.21915437   -3.75000000
  289.25934614   42.21869852   -3.73800000
  289.26029232   42.21824265   -4.51000000
  289.25661351   42.21897744   -3.92700000
  289.25748546   42.21873945   -3.02000000
  289.25196587   42.21769266   -5.65200000
  289.25288028   42.21822307   -6.39500000
  289.25383386   42.21857811   -4.14500000
  289.25477677   42.21877643   -3.09800000
  289.25569118   42.21851365   -3.23300000
  289.25144818   42.21629818  -10.26300000
  289.24990104   42.21522140  -15.16500000
  289.25228791   42.21701269   -6.22600000
  289.26864829   42.17595341   -5.52000000
  289.26901409   42.17428965   -5.64400000
  289.29186694   42.18968694    9.76000000
  289.28999826   42.18877781    9.70700000
  289.28846711   42.18804130    8.68200000
  289.28684862   42.18761046    6.88800000
  289.28594572   42.18702636    8.49500000
  289.28510558   42.18646596    8.01000000
  289.28429674   42.18592821    7.81700000
  289.28348788   42.18553270    7.50400000
  289.28261531   42.18494782    6.78000000
  289.28147882   42.18492506    2.91300000
